bibtex_key,title,label,hallucination_type,confidence,notes
a0478afc6fb9,Classifier-Free Diffusion Guidance,,,,
a0d07ad12df1,Quantizing deep convolutional networks for efficient inference: A whitepaper,,,,
a1591b542652,Adavit: Adaptive tokens for efficient vision transformer,,,,
a1a52be81664,Structured fast fourier transform attention for vision transformers,,,,
a24129d1c5e5,Flamingo: a Visual Language Model for Few-Shot Learning,,,,
a482012730fe,Softmatch: Addressing the quantity-quality trade-off in semi-supervised learning,,,,
a4d318041956,Person Re-Identification Using Heterogeneous Local Graph Attention Networks,,,,
a7b8e368f9ac,Not all tokens are equal: Efficient transformer for tokenization and beyond,,,,
aa2c1918bed1,Adversarial attacks and defenses in toxicity detection: A survey,,,,
aacc02631cc8,Reinforcement learning for optimal hedging,,,,
aaefe29933ae,Flash{A}ttention: Fast and Memory-Efficient Exact Attention with {IO}-Awareness,,,,
ab0f3b832ff6,MuSR: Testing the Limits of Chain-of-thought with Multistep Soft Reasoning,,,,
ab9c13051a56,Maskgpt: Uniform denoising diffusion for language,,,,
ac6ca276f55a,Modeling and control of freeway traffic flow by state space neural networks,,,,
ae3f9b4d3927,Kingma and Jimmy Ba,,,,
ae61732dac84,Rethinking Attention with Performers,,,,
afe42d78455d,Efficient 3d gaussian splatting for real-time neural rendering,,,,
b198ac27e836,Vision transformer compression: Early exiting and token pruning,,,,
b1b6209cc66e,Llamba: Efficient llms with mamba-based distillation,,,,
b1ff805837a9,Improved Denoising Diffusion Probabilistic Models,,,,
b215b462cfe2,Fedclip: A federated learning framework for vision-language models,,,,
b4268fa6464e,Flamingo: A Visual Language Model for Few-Shot Learning,,,,
b4e4bc802c52,Freematch: A simple framework for long-tailed semi-supervised learning,,,,
b6a26b30b14a,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders,,,,
b6d85d903dcf,Counterfactual Invariance to Spurious Correlations in Text Classification,,,,
b939e55d7555,PaLM: Scaling Language Modeling with Pathways,,,,
b96a038383dc,Complexity of Optimal Tensor Network Contraction Sequences,,,,
b97858a4638f,"Dark Experience for General Continual Learning: A Strong, Simple Baseline",,,,
b97daf1b4282,NP-Hardness of Optimal TensorNetwork Contraction and Polynomial-Time Algorithms for Tree Tensor Networks,,,,
b9ce7ba367a4,Large Language Models are Zero-Shot Reasoners,,,,
b9fb0d79989c,Towards gflownets for continuous control,,,,
bb59c4bd80e7,A Simple Framework for Contrastive Learning of Visual Representations,,,,
bb5ac1d4f1d9,Gpsa: Gene expression and histology-based spatial alignment,,,,
bb8032fd12d8,Training Language Models to Follow Instructions with Human Feedback,,,,
bbd1bcc55e09,Geom-GCN: Geometric Graph Convolutional Networks,,,,
bf3addc43203,Exploring Simple Siamese Representation Learning,,,,
c04c91eb971d,Understanding self-training for gradient-boosted trees,,,,
c0996f00a40f,Hierarchical protocols for multi-agent 3d scene understanding,,,,
c1c153439d88,Artificial intelligence reconstructs missing climate information,,,,
c252e8ceaebd,Random Feature Attention,,,,
c25b080c90c2,Semantic uncertainty estimation in large language models,,,,
c25ba5ac6d29,Chen and N,,,,
c27b1e7a9c2d,Scalable Diffusion Models for High-Resolution Image Synthesis,,,,
c337460709f1,Consistent Nonparametric Methods for Network Assisted Covariate Estimation,,,,
c36a5a4db3f1,Structure-aware video generation with latent diffusion models,,,,
c3e070166df2,LLaMA: Open and Efficient Foundation Language Models,,,,
c437b8d2fcd4,Denoising Diffusion Probabilistic Models,,,,
c52513344a78,Graph Neural Networks with Dynamic Attention for Node Classification,,,,
c5b31d38c496,ViTPose: Simple Vision Transformer Baselines for Human Pose Estimation,,,,
c5e93675a620,Deep paraphrase identification,,,,
c6193973869b,Text-to-Image Diffusion Models with Customized Guidance,,,,
c62f826741b3,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,,,,
c65faf378a95,OPT: Open Pre-trained Transformer Language Models,,,,
c67ba8e64fa4,Smith and A,,,,
c681d426120a,Optimization and generalization of gradient descent for shallow relu networks with minimal width,,,,
c70deeae0870,AUGMIX: A Simple Data Processing Method to Improve Robustness and Uncertainty,,,,
c769d5e30fb5,Reasoning with heterogeneous graph representations for knowledge-aware question answering,,,,
c9f02840d8f0,Answer me this: Self-verifying large language models,,,,
cad998c28243,"Robotslang: Grounded natural language for multi-robot object search, 2024",,,,
cb164ae84890,A dataset and exploration of models for understanding radiology images through dialogue,,,,
cbe59ae30740,Multi-Modal Fusion Strategies for Vision-Language Pre-Training,,,,
cdfcc07dff9e,Diffusion Models Beat {GAN}s on Image Synthesis,,,,
ce56b9084122,Paraphrase identification using deep contextualized representations,,,,
cf079d1957c7,Robust prediction of dynamical systems with structured neural networks: Long-term behavior and chaos,,,,
cfa3e201e778,Dsp: Diffusion-based span prediction for masked text modeling,,,,
cfc5bb242792,Multimodal adversarial robustness: Attack and defense,,,,
cff2f0bb469f,Simple Diffusion: End-to-End Diffusion for High Resolution Images,,,,
d0e8fbff7001,Agree to disagree: Adaptive learning with gradient disagreement,,,,
d0f7f9c72c33,IBRNet: Learning Multi-View Image-Based Rendering,,,,
d1fe214f878b,Fast inference from transformers via speculative decoding,,,,
d27ac16ca85a,PaLM-E: An Embodied Multimodal Language Model,,,,
d2e16a3e9ac3,Zhang and X,,,,
d4471f53482e,Occupational choices and the gender wage gap,,,,
d52cb87f9038,Learning to predict confidence for language models,,,,
d6033a295dd3,Heavy-tailed distributions in online ad response: A marketing analytics perspective,,,,
d632f7211d63,Fixing Data Augmentation to Improve Adversarial Robustness,,,,
d7bd062b5e1b,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,,,,
d85227857767,Deep koopman operator: A model-free approach to nonlinear dynamical systems,,,,
d87ce678eb11,LLaMA 2: Open foundation and fine-tuned chat models,,,,
da82cc87f879,Graph Neural Networks for Knowledge Representation,,,,
dae1eb71d49a,Highly accurate protein structure prediction with {AlphaFold,,,,
db9d82ff3f94,Constitutional {AI}: Harmlessness from {AI} Feedback,,,,
dbed17850510,Expectation maximization pseudo labels,,,,
dccb0bb90563,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,,,,
ded9f5844e90,TensoRF: Tensorial Radiance Fields,,,,
e02221942a28,Deep learning techniques for avatar-based interaction in virtual environments,,,,
e097911485a6,Slat: a transformer-based method for simultaneous alignment and clustering of spatial transcriptomics data,,,,
e2a2f3e6c419,Coarse-grained physics-based prediction of three-dimensional unsteady flows via neural networks,,,,
e2c14cf2d74b,Learning to Retrieve Prompts for In-Context Learning,,,,
e4c18d45f79a,Consistency in Diffusion Models: Improving Noise Embeddings,,,,
e5a3b24e112d,Efficient fewshot learning with efl: A single transformer for all tasks,,,,
e6f1f4ecb273,Autoencoder based test-time adaptation for semantic segmentation,,,,
e77181c528a5,Efficient Transformer Variants for Long-Sequence Modeling in NLP,,,,
e7d2f0c1e698,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,,,,
e7e5083fa94f,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models,,,,
e819037fb205,"Taché, and Etienne Altman",,,,
e8936f0a13bf,Discriminative features for fast frame-based phoneme classification,,,,
e8e1379d3939,Masked Autoencoders Are Scalable Vision Learners,,,,
e9e08922a057,{PaLM}: Scaling Language Modeling with Pathways,,,,
eaa48be036ab,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,,,,
eae03804fd48,Mip-NeRF: A Multiscale Representation for Anti-Aliasing Neural Radiance Fields,,,,
ec01d96455e0,TEMPO: Temporal representation prompting for large language models,,,,
ec7fc7e09a4f,UAST: Uncertainty-Aware Siamese Tracking,,,,
ed071a6dfa34,Improving Robustness using Generated Data,,,,
ee11bfb07e23,Memory-Augmented Potential Field Navigation with Dynamic Obstacle Avoidance,,,,
ee7414a2d305,Semantically diverse language generation,,,,
ef0914098b34,"Drivlme: A large-scale multi-agent driving benchmark, 2023",,,,
f07677224884,Test-time adaptation for continual semantic segmentation,,,,
f0a60c7552c1,Poisson equation for multiscale diffusions,,,,
f2fae82f929d,Susie: Scaling up instruction-following policies for robot manipulation,,,,
f34f26c83153,{NAS-Bench-201}: Extending the Scope of Reproducible Neural Architecture Search,,,,
f36bff1b0e11,Re2TAL: Rewiring Pretrained Video Backbones for Reversible Temporal Action Localization,,,,
f46e9569871d,Do Vision Transformers See Like Convolutional Neural Networks?,,,,
f4dcd5e6b6a7,Twin-systems for explaining ANNs using CBR,,,,
f6f340ab27ef,AI for language learning,,,,
f746e1c10ae9,Adaptive Federated Optimization,,,,
f802800935ef,ImageBind: One Embedding Space To Bind Them All,,,,
f862a322cf36,Understanding contrastive representation learning through alignment and uniformity on the hypersphere,,,,
f8662adf72d9,Robust compositional visual reasoning via language-guided neural module networks,,,,
f8c3fa3bca65,Webvoyager: Building an end-to-end web agent with large multimodal models,,,,
f8df3186e2e6,EST: Event spatio-temporal transformer for object recognition with event cameras,,,,
f931c45e0af4,Learning to trade with continuous action spaces: Application to market making,,,,
fa23a80d13ab,"Data-driven prediction of chaotic dynamics: Methods, challenges, and opportunities",,,,
fa77166308b0,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,,,,
fae3d0127db0,An empirical study of state space models for large language modeling,,,,
fbef97e518a5,Zero-shot skill composition with semantic feature fusion,,,,
fc4aaf478a08,Diffusion Models Beat GANs on Image Synthesis,,,,
fcf41787a617,Heimdallr: Efficient System Design for Large-Scale Distributed Computing,,,,
fe9f4d7d5867,Uncertainty quantification in abstractive summarization,,,,
ff065f4c5765,MERLOT: Multimodal Neural Script Knowledge Models,,,,
ff2931c3228f,An Empirical Study of Training Self-Supervised Vision Transformers,,,,
ffe715a15b16,Generative adversarial networks for hyper-realistic avatar creation,,,,
